sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Create Node,400000,4,2,4,0,4680,0.0,408.90931618095055,544.8353601312267
TOTAL,400000,4,2,4,0,4680,0.0,408.90931618095055,544.8353601312267
