sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Create Node,40000,91,15,26,4,26916,0.0,43.54376583904482,5.78315640049814
TOTAL,40000,91,15,26,4,26916,0.0,43.54376583904482,5.78315640049814
