sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Create Node,400000,4,2,6,0,2709,0.0,408.2953363485944,536.4414941411533
TOTAL,400000,4,2,6,0,2709,0.0,408.2953363485944,536.4414941411533
