sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Reference Node,400000,1,1,2,0,112,0.0,3335.6404846685623,5143.531567667636
TOTAL,400000,1,1,2,0,112,0.0,3335.6404846685623,5143.531567667636
