sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request,400000,0,1,2,0,55,0.0,4186.815717306203,556.0614624547301
TOTAL,400000,0,1,2,0,55,0.0,4186.815717306203,556.0614624547301
