sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Reference Node,40000,16,15,25,3,116,0.0,238.39180885744764,31.661412113879766
TOTAL,40000,16,15,25,3,116,0.0,238.39180885744764,31.661412113879766
