sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Read Node,1000000,0,0,1,0,678,0.0,1771.9845695583683,2600.2950707320865
TOTAL,1000000,0,0,1,0,678,0.0,1771.9845695583683,2600.2950707320865
