sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request,40000,16,14,27,6,153,0.0,240.15369836695484,31.89541306436119
TOTAL,40000,16,14,27,6,153,0.0,240.15369836695484,31.89541306436119
